Year,actual_nhietdo,predictions_nhietdo
2001,24.767866666666663,24.273786974340787
2002,24.79688333333333,24.330158792271007
2003,24.476975,24.33861942460002
2004,24.654508333333336,24.24534107466367
2005,24.794508333333336,24.29710595436994
2006,24.417025,24.337926925974582
2007,23.950883333333334,24.227860951465825
2008,24.72468333333333,24.09194412476053
2009,24.99546666666667,24.317567466386766
2010,23.88865,24.396522028965414
2011,24.903925,24.073798230954374
2012,24.567741666666667,24.3698304591394
2013,24.62115833333333,24.271806671254012
2014,25.249583333333334,24.287381815776975
2015,25.25186666666667,24.470616952067317
2016,25.3351,24.47128272267563
2017,25.197616666666665,24.495551762222487
2018,25.18766666666667,24.45546459617883
2019,25.09420833333333,24.452563391411218
2020,25.358408333333333,24.42531296304538
