Year,actual_luongmua,predictions_luongmua
2001,2112.3407,1788.8776767304166
2002,1601.2476,1787.673152136843
2003,1618.5312,1813.0771073621017
2004,2019.3135,1812.218023565957
2005,1751.6762,1792.2970823435533
2006,1920.3901,1805.6000324045287
2007,2013.6465,1797.2140840098452
2008,1731.517,1792.5787613845373
2009,1624.0319,1806.602048307653
2010,2035.0812,1811.9446104901251
2011,2171.8003,1791.5133465725064
2012,2088.1969,1784.7177042622548
2013,1662.923,1788.8732231496733
2014,1737.7876,1810.0115228333732
2015,1737.7876,1806.2903672428224
2016,1737.7876,1806.2903672428224
2017,1737.7876,1806.2903672428224
2018,1737.7876,1806.2903672428224
2019,1730.4639,1806.2903672428224
2020,1774.5673,1806.654392792929
